,car,price,body,mileage,engV,engType,registration,year,model,drive
391,Volkswagen,1300.0,other,10,1.6,Diesel,yes,1984,T2 (Transporter),rear
392,Peugeot,1250.0,sedan,10,1.9,Gas,yes,1990,405,front
393,VAZ,463.125,sedan,10,1.3,Petrol,yes,1979,2101,rear
394,Opel,3300.0,hatch,10,1.8,Gas,yes,1993,Vectra A,front
395,BMW,5900.0,sedan,10,2.8,Petrol,yes,1989,328,rear
396,BMW,85555.0,sedan,10,3.0,Other,yes,2015,6 Series Gran Coupe,full
397,VAZ,400.0,sedan,10,1.1,Petrol,yes,1982,2101,rear
398,BMW,47300.0,crossover,10,2.0,Diesel,yes,2016,X3,full
399,VAZ,1000.0,sedan,10,8.0,Petrol,yes,1982,2101,rear
400,VAZ,722.475,sedan,10,1.2,Petrol,yes,1984,2101,rear
401,Lexus,0.0,crossover,11,5.7,Petrol,yes,2016,LX 570,full
402,Porsche,60000.0,other,11,3.8,Petrol,yes,2010,911,rear
403,Volkswagen,33700.0,van,11,1.4,Petrol,yes,2016,Touran,front
404,Chevrolet,5200.0,sedan,11,1.8,Petrol,yes,2007,Aveo,front
405,Nissan,16500.0,hatch,11,1.8,Other,yes,2015,Leaf,front
406,Volkswagen,29600.0,sedan,11,1.4,Petrol,yes,2016,Passat B8,front
407,Maserati,110000.0,other,11,4.7,Petrol,yes,2014,GranTurismo,rear
408,BMW,4800.0,sedan,11,2.5,Diesel,yes,1994,325,rear
409,Audi,43000.0,other,11,1.8,Petrol,yes,2015,A6,front
410,Volkswagen,2350.0,sedan,11,1.9,Other,no,2000,Passat B5,
411,Audi,3000.0,van,11,1.9,Diesel,no,1999,A6,
412,Daewoo,6000.0,hatch,11,1.5,Gas,yes,2013,Lanos,front
413,Ford,15900.0,hatch,11,1.0,Petrol,yes,2015,Focus,front
414,VAZ,1300.0,sedan,11,1.5,Petrol,yes,1987,2105,rear
415,Mitsubishi,24500.0,crossover,11,2.5,Diesel,yes,2012,Pajero Sport,full
